Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,97,0,1.8,83.0,0.0012916666666666
2022-01-02,82,0,1.8,85.5,0.0017916666666666
2022-01-03,117,0,2.0,88.0,0.0041666666666666
2022-01-04,129,0,1.8,88.0,0.01175
2022-01-05,97,0,2.0,88.0,0.0020833333333333
2022-01-06,127,0,2.3,88.0,0.003875
2022-01-07,124,0,2.5,83.0,0.0240416666666666
2022-01-08,155,0,2.3,88.0,0.0026666666666666
2022-01-09,137,0,2.3,88.0,0.004875
2022-01-10,142,0,2.9,83.0,0.01575
2022-01-11,147,0,2.3,83.0,0.01575
2022-01-12,117,0,3.8,83.0,0.0178333333333333
2022-01-13,102,0,3.3,88.0,0.007625
2022-01-14,97,0,3.3,88.0,0.0118749999999999
2022-01-15,99,0,3.0,88.0,0.0058333333333333
2022-01-16,89,0,2.8,94.0,0.072625
2022-01-17,102,0,2.5,94.0,0.1381666666666666
2022-01-18,104,0,2.3,91.0,0.0807916666666666
2022-01-19,112,0,2.0,88.0,0.038375
2022-01-20,152,0,2.3,88.0,0.1047916666666666
2022-01-21,162,0,2.0,83.0,0.0972083333333333
2022-01-22,160,0,2.3,88.0,0.0539583333333333
2022-01-23,158,0,2.0,91.0,0.0182916666666666
2022-01-24,160,0,2.3,94.0,0.1314583333333333
2022-01-25,163,0,2.8,91.0,0.2140833333333333
2022-01-26,155,0,2.5,91.0,0.0428333333333333
2022-01-27,139,0,1.8,88.0,0.0428333333333333
2022-01-28,122,0,1.5,91.0,0.0121249999999999
2022-01-29,149,0,2.3,88.5,0.0149166666666666
2022-01-30,152,0,2.5,94.0,0.0657083333333333
2022-01-31,163,0,2.0,94.0,0.1540833333333333
2022-02-01,162,0,2.5,91.0,0.1674166666666666
2022-02-02,159,0,2.3,91.0,0.5660416666666667
2022-02-03,152,0,2.3,85.5,0.1191666666666666
2022-02-04,142,0,2.3,83.0,0.05425
2022-02-05,139,0,2.3,83.0,0.032125
2022-02-06,114,0,2.5,88.0,0.0270416666666666
2022-02-07,119,0,1.5,91.0,0.044125
2022-02-08,117,0,3.3,85.5,0.031875
2022-02-09,114,0,3.6,85.5,0.048875
2022-02-10,151,0,3.0,83.0,0.0082916666666666
2022-02-11,153,0,3.8,85.5,0.0052083333333333
2022-02-12,147,0,3.8,85.5,0.0069583333333333
2022-02-13,127,0,2.9,88.0,0.0020416666666666
2022-02-14,151,0,2.5,91.0,0.0047083333333333
2022-02-15,119,0,2.5,88.0,0.072875
2022-02-16,102,0,2.8,91.0,0.064625
2022-02-17,104,0,3.8,88.0,0.0969166666666666
2022-02-18,82,0,3.6,80.5,0.290875
2022-02-19,85,0,4.1,88.0,0.438
2022-02-20,87,0,2.5,85.5,0.0206666666666666
2022-02-21,89,0,3.6,91.0,0.006625
2022-02-22,82,0,3.3,91.0,0.017625
2022-02-23,87,0,2.8,97.0,0.013
2022-02-24,95,0,2.5,97.0,0.0113333333333333
2022-02-25,97,0,2.5,96.0,0.1126666666666666
2022-02-26,107,0,3.6,94.0,0.0802083333333333
2022-02-27,93,0,3.6,94.0,0.1385416666666666
2022-02-28,104,0,2.8,91.0,0.0500416666666666
2022-03-01,114,0,3.8,88.0,0.14525
2022-03-02,117,0,2.5,94.0,0.005625
2022-03-03,109,0,2.5,88.0,0.000625
2022-03-04,95,0,3.0,85.5,0.0304166666666666
2022-03-05,78,0,2.5,88.0,0.041125
2022-03-06,0,0,2.3,91.0,0.1782083333333333
2022-03-07,87,0,2.5,88.5,0.15
2022-03-08,93,0,2.0,88.0,0.0843749999999999
2022-03-09,85,0,2.8,94.0,0.1432083333333333
2022-03-10,93,0,3.6,94.0,0.0522916666666666
2022-03-11,93,0,2.9,91.0,0.0604583333333333
2022-03-12,91,0,3.6,83.0,0.0674166666666666
2022-03-13,82,0,4.1,88.0,0.0987916666666666
2022-03-14,85,0,3.6,88.0,0.128625
2022-03-15,102,0,3.6,88.0,0.2212083333333333
2022-03-16,95,0,3.3,85.5,0.134375
2022-03-17,99,0,3.0,85.5,0.213
2022-03-18,119,0,2.5,94.0,0.0510416666666666
2022-03-19,112,0,4.3,88.0,0.1555416666666666
2022-03-20,99,0,3.0,83.0,0.2153333333333333
2022-03-21,85,0,3.0,83.0,0.1774583333333333
2022-03-22,0,0,2.3,88.0,0.2573749999999999
2022-03-23,0,0,2.3,94.0,0.1338333333333333
2022-03-24,0,0,2.5,88.0,0.109375
2022-03-25,82,0,3.0,88.3,0.322
2022-03-26,82,0,2.8,94.0,0.0275833333333333
2022-03-27,91,0,2.5,91.0,0.1390833333333333
2022-03-28,91,0,3.0,88.0,0.178875
2022-03-29,74,0,3.6,84.0,0.3348333333333333
2022-03-30,65,0,3.8,83.0,0.4395416666666666
2022-03-31,80,0,4.1,85.5,0.2824583333333333
2022-04-01,80,0,4.6,84.0,0.1031666666666666
2022-04-02,80,0,3.0,88.0,0.1842083333333333
2022-04-03,72,0,3.6,85.5,0.2543333333333333
2022-04-04,74,0,3.3,91.0,0.4895
2022-04-05,65,0,3.6,83.0,0.4766666666666666
2022-04-06,63,0,3.0,89.0,0.2455
2022-04-07,59,0,2.8,83.0,0.5722083333333333
2022-04-08,50,0,3.6,81.0,0.986375
2022-04-09,53,0,2.5,83.0,0.1277916666666666
2022-04-10,30,0,4.3,83.0,0.5969583333333334
2022-04-11,34,0,4.6,83.0,0.7854166666666668
2022-04-12,68,0,3.2,85.5,0.098375
2022-04-13,70,0,2.8,83.0,0.1820416666666666
2022-04-14,50,0,4.8,83.0,0.435875
2022-04-15,42,0,1.8,85.5,0.3074166666666666
2022-04-16,63,0,1.8,98.0,0.0614166666666666
2022-04-17,38,0,3.0,88.0,0.0301666666666666
2022-04-18,34,0,3.0,88.0,0.1092916666666666
2022-04-19,38,0,2.0,88.0,0.166125
2022-04-20,38,0,3.6,91.0,0.3057083333333333
2022-04-21,46,0,3.8,91.0,0.0197916666666666
2022-04-22,42,0,2.5,88.0,0.1553333333333333
2022-04-23,30,0,2.5,88.0,0.45075
2022-04-24,21,0,4.6,86.3,0.0075
2022-04-25,74,0,1.8,88.0,0.0442916666666666
2022-04-26,53,0,3.3,85.5,0.5122916666666667
2022-04-27,46,0,4.6,83.0,0.02275
2022-04-28,38,0,2.8,83.0,0.2118333333333333
2022-04-29,59,0,2.0,83.0,0.3765833333333333
2022-04-30,46,0,3.3,83.5,0.2265
2022-05-01,25,0,3.4,83.0,0.31475
2022-05-02,21,0,3.6,83.0,0.5402916666666667
2022-05-03,34,0,3.0,83.0,0.4405833333333333
2022-05-04,34,0,3.0,83.0,0.2260833333333333
2022-05-05,53,0,2.5,88.6,0.0481666666666666
2022-05-06,68,0,1.2,94.0,0.1866666666666666
2022-05-07,63,0,2.3,81.0,0.2583333333333333
2022-05-08,34,0,4.6,83.0,0.144375
2022-05-09,50,0,3.6,88.0,0.1439583333333333
2022-05-10,59,0,3.3,88.0,0.04225
2022-05-11,53,0,4.3,88.0,0.0779166666666666
2022-05-12,25,0,2.3,91.0,0.1057083333333333
